#time	mic	%cpu	cpuT	memT	totW
1457976084	mic2	4.41	71.00	57.00	183.00
1457976085	mic3	3.97	56.00	41.00	121.00
1457976086	mic4	4.38	62.00	45.00	139.00
1457976087	mic5	6.66	67.00	51.00	166.00
1457976148	mic0	4.53	50.00	39.00	107.00
1457976149	mic1	9.86	69.00	52.00	171.00
1457976150	mic2	0.33	72.00	57.00	136.00
1457976151	mic3	3.97	57.00	42.00	138.00
1457976152	mic4	6.28	64.00	46.00	151.00
1457976153	mic5	4.61	68.00	52.00	114.00
1457976213	mic0	1.40	54.00	40.00	134.00
1457976214	mic1	0.00	72.00	53.00	210.00
1457976215	mic2	0.06	71.00	57.00	132.00
1457976216	mic3	0.00	59.00	42.00	168.00
1457976217	mic4	9.24	66.00	46.00	188.00
1457976218	mic5	9.58	70.00	52.00	197.00
1457976279	mic0	9.74	53.00	39.00	165.00
1457976280	mic1	9.84	68.00	53.00	171.00
1457976281	mic2	6.42	73.00	57.00	171.00
1457976282	mic3	9.84	58.00	42.00	168.00
1457976283	mic4	9.90	65.00	46.00	163.00
1457976284	mic5	9.81	68.00	51.00	168.00
1457976345	mic0	0.38	50.00	39.00	110.00
1457976346	mic1	0.36	66.00	52.00	133.00
1457976347	mic2	9.96	74.00	57.00	183.00
1457976348	mic3	0.40	55.00	42.00	117.00
1457976349	mic4	0.15	61.00	45.00	124.00
1457976349	mic5	9.92	69.00	52.00	166.00
1457976410	mic0	9.93	54.00	40.00	163.00
1457976411	mic1	0.37	65.00	52.00	117.00
1457976412	mic2	9.87	73.00	57.00	184.00
1457976413	mic3	2.49	59.00	42.00	142.00
1457976414	mic4	0.35	63.00	46.00	114.00
1457976415	mic5	1.35	67.00	52.00	131.00
1457976476	mic0	4.32	51.00	39.00	141.00
1457976477	mic1	0.33	66.00	53.00	118.00
1457976478	mic2	2.18	71.00	57.00	152.00
1457976479	mic3	9.83	59.00	42.00	169.00
1457976480	mic4	3.85	65.00	46.00	142.00
1457976481	mic5	0.34	67.00	51.00	114.00
1457976542	mic0	0.10	50.00	39.00	126.00
1457976543	mic1	9.75	67.00	52.00	172.00
1457976544	mic2	0.36	74.00	57.00	135.00
1457976545	mic3	9.75	58.00	41.00	171.00
1457976545	mic4	0.13	63.00	46.00	113.00
1457976546	mic5	6.58	68.00	52.00	115.00
1457976607	mic0	3.69	50.00	40.00	115.00
1457976608	mic1	0.32	65.00	52.00	117.00
1457976609	mic2	4.28	73.00	57.00	181.00
1457976610	mic3	0.31	57.00	42.00	117.00
1457976611	mic4	9.76	65.00	46.00	165.00
1457976612	mic5	9.72	67.00	51.00	167.00
1457976673	mic0	6.47	53.00	40.00	106.00
1457976674	mic1	2.22	70.00	53.00	200.00
1457976675	mic2	0.00	71.00	57.00	184.00
1457976676	mic3	9.74	62.00	42.00	193.00
1457976677	mic4	9.68	63.00	45.00	164.00
1457976678	mic5	0.29	67.00	52.00	115.00
1457976739	mic0	0.00	60.00	40.00	203.00
1457976740	mic1	0.06	68.00	53.00	115.00
1457976741	mic2	0.39	72.00	57.00	135.00
1457976741	mic3	9.76	60.00	42.00	169.00
1457976742	mic4	0.37	61.00	46.00	114.00
1457976743	mic5	9.79	70.00	52.00	169.00
1457976804	mic0	9.71	53.00	40.00	164.00
1457976805	mic1	0.05	68.00	53.00	122.00
1457976806	mic2	0.00	72.00	57.00	131.00
1457976807	mic3	8.64	59.00	42.00	168.00
1457976808	mic4	0.99	64.00	46.00	147.00
1457976809	mic5	9.77	68.00	51.00	168.00
1457976870	mic0	0.37	50.00	40.00	110.00
1457976871	mic1	0.00	69.00	53.00	168.00
1457976872	mic2	9.64	73.00	57.00	189.00
1457976873	mic3	0.07	58.00	42.00	126.00
1457976874	mic4	9.75	64.00	45.00	171.00
1457976875	mic5	3.44	71.00	52.00	149.00
1457976936	mic0	0.00	51.00	40.00	104.00
1457976936	mic1	9.97	68.00	52.00	171.00
1457976937	mic2	0.00	75.00	58.00	131.00
1457976938	mic3	7.88	58.00	42.00	149.00
1457976939	mic4	9.77	65.00	47.00	167.00
1457976940	mic5	9.99	71.00	52.00	194.00
1457977001	mic0	0.83	53.00	40.00	148.00
1457977002	mic1	0.35	64.00	52.00	117.00
1457977003	mic2	9.79	73.00	57.00	183.00
1457977004	mic3	7.33	61.00	42.00	191.00
1457977005	mic4	0.03	63.00	46.00	124.00
1457977006	mic5	9.65	69.00	52.00	167.00
1457977067	mic0	2.44	54.00	40.00	112.00
1457977068	mic1	0.32	68.00	54.00	118.00
1457977069	mic2	9.73	73.00	57.00	186.00
1457977070	mic3	9.74	59.00	42.00	169.00
1457977071	mic4	0.08	62.00	46.00	115.00
1457977072	mic5	0.00	68.00	51.00	169.00
1457977132	mic0	8.18	56.00	40.00	192.00
1457977133	mic1	9.99	72.00	54.00	203.00
1457977134	mic2	0.15	71.00	57.00	141.00
1457977135	mic3	8.66	59.00	42.00	168.00
1457977136	mic4	9.78	64.00	46.00	167.00
1457977137	mic5	0.33	67.00	51.00	114.00
1457977198	mic0	9.42	55.00	40.00	164.00
1457977199	mic1	7.35	66.00	53.00	116.00
1457977200	mic2	0.15	71.00	57.00	143.00
1457977201	mic3	9.99	64.00	43.00	202.00
1457977202	mic4	0.00	68.00	46.00	200.00
1457977203	mic5	0.37	68.00	52.00	114.00
1457977264	mic0	8.55	51.00	40.00	148.00
1457977265	mic1	9.93	68.00	53.00	172.00
1457977266	mic2	0.34	75.00	57.00	135.00
1457977267	mic3	9.81	59.00	42.00	170.00
1457977268	mic4	8.63	65.00	46.00	166.00
1457977268	mic5	0.17	68.00	52.00	116.00
1457977329	mic0	8.39	54.00	40.00	168.00
1457977330	mic1	0.00	68.00	53.00	172.00
1457977331	mic2	0.19	73.00	57.00	142.00
1457977332	mic3	0.35	56.00	42.00	117.00
1457977333	mic4	9.97	68.00	46.00	200.00
1457977334	mic5	5.82	67.00	52.00	113.00
1457977395	mic0	0.36	52.00	40.00	111.00
1457977396	mic1	9.73	68.00	53.00	172.00
1457977397	mic2	0.35	72.00	57.00	135.00
1457977398	mic3	0.32	57.00	42.00	117.00
1457977399	mic4	0.00	64.00	46.00	165.00
1457977400	mic5	8.65	69.00	52.00	169.00
1457977461	mic0	0.38	51.00	40.00	111.00
1457977462	mic1	0.33	66.00	53.00	116.00
1457977463	mic2	0.00	76.00	58.00	216.00
1457977464	mic3	6.71	58.00	42.00	142.00
1457977464	mic4	9.99	68.00	46.00	202.00
1457977465	mic5	8.73	68.00	51.00	168.00
1457977526	mic0	1.27	52.00	40.00	120.00
1457977527	mic1	9.44	66.00	53.00	118.00
1457977528	mic2	9.74	73.00	57.00	184.00
1457977529	mic3	9.96	62.00	42.00	196.00
1457977530	mic4	9.28	64.00	46.00	166.00
1457977531	mic5	9.86	68.00	51.00	166.00
1457977592	mic0	7.48	54.00	40.00	148.00
1457977593	mic1	0.10	65.00	53.00	117.00
1457977594	mic2	0.00	75.00	57.00	134.00
1457977595	mic3	9.76	59.00	42.00	167.00
1457977596	mic4	0.00	69.00	46.00	201.00
1457977597	mic5	9.82	68.00	51.00	169.00
1457977658	mic0	1.99	53.00	40.00	106.00
1457977659	mic1	1.89	68.00	53.00	116.00
1457977660	mic2	6.35	72.00	57.00	135.00
1457977660	mic3	9.81	57.00	42.00	166.00
1457977661	mic4	9.77	64.00	46.00	165.00
1457977662	mic5	0.74	68.00	51.00	168.00
1457977723	mic0	2.80	53.00	40.00	118.00
1457977724	mic1	5.10	67.00	52.00	118.00
1457977725	mic2	0.04	72.00	57.00	133.00
1457977726	mic3	0.00	58.00	41.00	167.00
1457977727	mic4	9.78	64.00	45.00	165.00
1457977728	mic5	0.35	67.00	51.00	114.00
1457977789	mic0	5.29	54.00	40.00	152.00
1457977790	mic1	0.35	67.00	53.00	119.00
1457977791	mic2	9.61	71.00	56.00	189.00
1457977792	mic3	0.36	55.00	41.00	116.00
1457977793	mic4	6.53	63.00	45.00	165.00
1457977794	mic5	0.34	66.00	51.00	114.00
1457977855	mic0	9.74	53.00	39.00	164.00
1457977856	mic1	3.13	65.00	52.00	123.00
1457977856	mic2	8.54	74.00	58.00	165.00
1457977857	mic3	8.44	60.00	42.00	170.00
1457977858	mic4	0.02	63.00	45.00	128.00
1457977859	mic5	3.43	67.00	52.00	120.00
1457977920	mic0	0.00	58.00	40.00	204.00
1457977921	mic1	0.31	65.00	52.00	117.00
1457977922	mic2	9.80	73.00	57.00	185.00
1457977923	mic3	9.77	58.00	42.00	169.00
1457977924	mic4	0.00	68.00	46.00	198.00
